"Rank","Title","Year","Country","Genre","Rating"
1,"肖申克的救赎",1994,"USA","Crime",9.7
2,"霸王别姬",1993,"CHNC","Drama",9.6
3,"泰坦尼克号",1997,"USA","Drama",9.5
4,"阿甘正传",1994,"USA","Drama",9.5
5,"千与千寻",2001,"JPN","Drama",9.4
6,"星际穿越",2014,"USA","Drama",9.4
7,"美丽人生",1997,"ITA","Drama",9.5
8,"这个杀手不太冷",1994,"FRA","Drama",9.4
9,"盗梦空间",2010,"USA","Drama",9.4
10,"楚门的世界",1998,"USA","Drama",9.4
11,"辛德勒的名单",1993,"USA","Drama",9.5
12,"忠犬八公的故事",2009,"USA","Drama",9.4
13,"海上钢琴师",1998,"ITA","Drama",9.3
14,"疯狂动物城",2016,"USA","Comedy",9.3
15,"三傻大闹宝莱坞",2009,"IND","Drama",9.2
16,"机器人总动员",2008,"USA","Fiction",9.3
17,"放牛班的春天",2004,"FRA","Drama",9.3
18,"无间道",2002,"CHNH","Drama",9.3
19,"控方证人",1957,"USA","Drama",9.6
20,"寻梦环游记",2017,"USA","Comedy",9.1
21,"大话西游之大圣娶亲",1995,"CHNH","Comedy",9.2
22,"熔炉",2011,"KOR","Drama",9.3
23,"触不可及",2011,"FRA","Drama",9.3
24,"教父",1972,"USA","Drama",9.3
25,"哈利·波特与魔法石",2001,"USA","Fantasy",9.2
26,"末代皇帝",1987,"GBR","Drama",9.3
27,"当幸福来敲门",2006,"USA","Drama",9.1
28,"龙猫",1988,"JPN","Animation",9.2
29,"活着",1994,"CHNC","Drama",9.3
30,"怦然心动",2010,"USA","Drama",9.1
31,"蝙蝠侠：黑暗骑士",2008,"USA","Drama",9.2
32,"指环王3：王者无敌",2003,"USA","Drama",9.3
33,"我不是药神",2018,"CHNC","Drama",0.9
34,"乱世佳人",1939,"USA","Drama",9.3
35,"让子弹飞",2010,"CHNC","Drama",0.9
36,"飞屋环游记",2009,"USA","Drama",9.1
37,"哈尔的移动城堡",2004,"JPN","Romance",9.1
38,"十二怒汉",1957,"USA","Drama",9.4
39,"海蒂和爷爷",2015,"DEU","Drama",9.3
40,"素媛",2013,"KOR","Drama",9.3
41,"猫鼠游戏",2002,"USA","Biography",9.1
42,"天空之城",1986,"JPN","Animation",9.2
43,"鬼子来了",2000,"CHNC","Drama",9.3
44,"摔跤吧！爸爸",2016,"IND","Drama",0.9
45,"少年派的奇幻漂流",2012,"USA","Drama",9.1
46,"死亡诗社",1989,"USA","Drama",9.2
47,"钢琴家",2002,"GBR","Drama",9.3
48,"指环王2：双塔奇兵",2002,"USA","Drama",9.2
49,"大话西游之月光宝盒",1995,"CHNH","Comedy",0.9
50,"绿皮书",2018,"USA","Drama",8.9
51,"何以为家",2018,"LBN","Drama",9.1
52,"闻香识女人",1992,"USA","Drama",9.1
53,"大闹天宫",1961,"CHNC","Animation",9.4
54,"黑客帝国",1999,"USA","Action",9.1
55,"指环王1：护戒使者",2001,"NZL","Drama",9.1
56,"罗马假日",1953,"USA","Comedy",9.1
57,"教父2",1974,"USA","Drama",9.3
58,"狮子王",1994,"USA","Animation",9.1
59,"天堂电影院",1988,"ITA","Drama",9.2
60,"饮食男女",1994,"CHNT","Drama",9.2
61,"辩护人",2013,"KOR","Drama",9.2
62,"本杰明·巴顿奇事",2008,"USA","Drama",0.9
63,"搏击俱乐部",1999,"USA","Drama",0.9
64,"美丽心灵",2001,"USA","Biography",9.1
65,"穿条纹睡衣的男孩",2008,"GBR","Drama",9.2
66,"哈利·波特与死亡圣器(下)",2011,"USA","Fantasy",0.9
67,"功夫",2004,"CHNC","Action",8.9
68,"两杆大烟枪",1998,"GBR","Drama",9.1
69,"情书",1995,"JPN","Drama",8.9
70,"音乐之声",1965,"USA","Drama",9.1
71,"窃听风暴",2006,"DEU","Drama",9.2
72,"哈利·波特与阿兹卡班的囚徒",2004,"GBR","Fantasy",0.9
73,"阿凡达",2009,"USA","Action",8.8
74,"西西里的美丽传说",2000,"ITA","Drama",8.9
75,"看不见的客人",2016,"ESP","Drama",8.8
76,"拯救大兵瑞恩",1998,"USA","Drama",9.1
77,"沉默的羔羊",1991,"USA","Drama",8.9
78,"小鞋子",1997,"IRN","Drama",9.2
79,"还有明天",2023,"ITA","Drama",9.3
80,"蝴蝶效应",2004,"USA","Drama",8.9
81,"布达佩斯大饭店",2014,"USA","Drama",8.9
82,"飞越疯人院",1975,"USA","Drama",9.1
83,"禁闭岛",2010,"USA","Drama",8.9
84,"心灵捕手",1997,"USA","Drama",0.9
85,"致命魔术",2006,"GBR","Drama",8.9
86,"低俗小说",1994,"USA","Drama",8.9
87,"哈利·波特与密室",2002,"GBR","Fantasy",8.9
88,"一一",2000,"CHNT","Drama",9.1
89,"超脱",2011,"USA","Drama",0.9
90,"喜剧之王",1999,"CHNH","Comedy",8.8
91,"致命ID",2003,"USA","Drama",8.9
92,"杀人回忆",2003,"KOR","Drama",8.9
93,"摩登时代",1936,"USA","Drama",9.3
94,"加勒比海盗",2003,"USA","Action",8.9
95,"春光乍泄",1997,"CHNH","Drama",0.9
96,"海豚湾",2009,"USA","Documentary",9.3
97,"美国往事",1984,"USA","Crime",9.1
98,"七宗罪",1995,"USA","Drama",8.8
99,"红辣椒",2006,"JPN","Animation",0.9
100,"唐伯虎点秋香",1993,"CHNH","Comedy",8.8
101,"狩猎",2012,"DNK","Drama",9.1
102,"寄生虫",2019,"KOR","Drama",8.8
103,"幽灵公主",1997,"JPN","Animation",8.9
104,"甜蜜蜜",1996,"CHNH","Drama",8.9
105,"蝙蝠侠：黑暗骑士崛起",2012,"USA","Drama",8.9
106,"天书奇谭",1983,"CHNC","Drama",9.2
107,"超能陆战队",2014,"USA","Comedy",8.8
108,"茶馆",1982,"CHNC","Drama",9.5
109,"第六感",1999,"USA","Drama",8.9
110,"7号房的礼物",2013,"KOR","Drama",8.9
111,"爱在日落黄昏时",2004,"USA","Drama",8.9
112,"爱在黎明破晓前",1995,"USA","Drama",8.8
113,"头脑特工队",2015,"USA","Comedy",8.9
114,"哈利·波特与火焰杯",2005,"GBR","Mystery",8.8
115,"未麻的部屋",1997,"JPN","Drama",9.1
116,"被嫌弃的松子的一生",2006,"JPN","Drama",8.8
117,"重庆森林",1994,"CHNH","Drama",8.8
118,"借东西的小人阿莉埃蒂",2010,"JPN","Animation",8.9
119,"菊次郎的夏天",1999,"JPN","Drama",8.9
120,"入殓师",2008,"JPN","Drama",8.9
121,"断背山",2005,"USA","Drama",8.8
122,"剪刀手爱德华",1990,"USA","Drama",8.7
123,"勇敢的心",1995,"USA","Action",8.9
124,"时空恋旅人",2013,"GBR","Comedy",8.8
125,"玩具总动员3",2010,"USA","Comedy",8.9
126,"傲慢与偏见",2005,"FRA","Drama",8.7
127,"驯龙高手",2010,"USA","Animation",8.8
128,"新世界",2013,"KOR","Drama",8.9
129,"消失的爱人",2014,"USA","Drama",8.7
130,"无人知晓",2004,"JPN","Drama",9.1
131,"倩女幽魂",1987,"CHNH","Romance",8.8
132,"花样年华",2000,"CHNH","Drama",8.8
133,"色，戒",2007,"CHNT","Drama",8.7
134,"一个叫欧维的男人决定去死",2015,"SWE","Drama",8.9
135,"怪兽电力公司",2001,"USA","Children",8.8
136,"完美的世界",1993,"USA","Drama",9.1
137,"教父3",1990,"USA","Drama",0.9
138,"九品芝麻官",1994,"CHNH","Drama",8.8
139,"小森林 夏秋篇",2014,"JPN","Drama",0.9
140,"天使爱美丽",2001,"FRA","Drama",8.7
141,"阳光灿烂的日子",1994,"CHNC","Drama",8.8
142,"哪吒闹海",1979,"CHNC","Adventure",9.2
143,"被解救的姜戈",2012,"USA","Drama",8.8
144,"侧耳倾听",1995,"JPN","Drama",8.9
145,"幸福终点站",2004,"USA","Comedy",8.8
146,"请以你的名字呼唤我",2017,"ITA","Drama",8.8
147,"釜山行",2016,"KOR","Action",8.6
148,"神偷奶爸",2010,"USA","Comedy",8.7
149,"小森林 冬春篇",2015,"JPN","Drama",0.9
150,"喜宴",1993,"CHNT","Drama",0.9
151,"萤火之森",2011,"JPN","Drama",8.8
152,"告白",2010,"JPN","Drama",8.8
153,"机器人之梦",2023,"ESP","Drama",9.1
154,"七武士",1954,"JPN","Action",9.3
155,"头号玩家",2018,"USA","Action",8.6
156,"玛丽和麦克斯",2009,"AUS","Drama",0.9
157,"模仿游戏",2014,"GBR","Drama",8.8
158,"惊魂记",1960,"USA","Mystery",0.9
159,"心灵奇旅",2020,"USA","Animation",8.7
160,"大鱼",2003,"USA","Drama",8.8
161,"背靠背，脸对脸",1994,"CHNC","Drama",9.4
162,"你的名字。",2016,"JPN","Drama",8.5
163,"血战钢锯岭",2016,"AUS","Drama",8.7
