Rank,Title,Year,Country,Gener,Rating
1,肖申克的救赎,1994??,??美国??,??犯罪,9.7
2,霸王别姬,1993??,??中国大陆,??剧情,9.6
3,泰坦尼克号,1997??,??美国??,??剧情,9.5
4,阿甘正传,1994??,??美国??,??剧情,9.5
5,千与千寻,2001??,??日本??,??剧情,9.4
6,星际穿越,2014??,??美国,??剧情,9.4
7,美丽人生,1997??,??意大利??,??剧情,9.5
8,这个杀手不太冷,1994??,??法国,??剧情,9.4
9,盗梦空间,2010??,??美国,??剧情,9.4
10,楚门的世界,1998??,??美国??,??剧情,9.4
11,辛德勒的名单,1993??,??美国??,??剧情,9.5
12,忠犬八公的故事,2009??,??美国,"??剧情",9.4
13,海上钢琴师,1998??,??意大利??,??剧情,9.3
14,疯狂动物城,2016??,??美国??,??喜剧,9.3
15,三傻大闹宝莱坞,2009??,??印度??,??剧情,9.2
16,机器人总动员,2008??,??美国??,??科幻,9.3
17,放牛班的春天,2004??,??法国,??剧情,9.3
18,无间道,2002??,??中国香港??,??剧情,9.3
19,控方证人,1957??,??美国??,??剧情,9.6
20,寻梦环游记,2017??,??美国??,??喜剧,9.1
21,大话西游之大圣娶亲,1995??,??中国香港,??喜剧,9.2
22,熔炉,2011??,??韩国??,"??剧情",9.3
23,触不可及,2011??,??法国??,??剧情,9.3
24,教父,1972??,??美国??,??剧情,9.3
25,哈利·波特与魔法石,2001??,??美国,??奇幻,9.2
26,末代皇帝,1987??,??英国,??剧情,9.3
27,当幸福来敲门,2006??,??美国??,??剧情,9.1
28,龙猫,1988??,??日本??,??动画,9.2
29,活着,1994??,??中国大陆,??剧情,9.3
30,怦然心动,2010??,??美国??,??剧情,9.1
31,蝙蝠侠：黑暗骑士,2008??,??美国,??剧情,9.2
32,指环王3：王者无敌,2003??,??美国,??剧情,9.3
33,我不是药神,2018??,??中国大陆??,??剧情,9
34,乱世佳人,1939??,??美国??,??剧情,9.3
35,让子弹飞,2010??,??中国大陆,??剧情,9
36,飞屋环游记,2009??,??美国??,??剧情,9.1
37,哈尔的移动城堡,2004??,??日本??,??爱情,9.1
38,十二怒汉,1957??,??美国??,"??剧情",9.4
39,海蒂和爷爷,2015??,??德国,??剧情,9.3
40,素媛,2013??,??韩国??,"??剧情",9.3
41,猫鼠游戏,2002??,??美国,??传记,9.1
42,天空之城,1986??,??日本??,??动画,9.2
43,鬼子来了,2000??,??中国大陆??,??剧情,9.3
44,摔跤吧！爸爸,2016??,??印度??,??剧情,9
45,少年派的奇幻漂流,2012??,??美国,??剧情,9.1
46,死亡诗社,1989??,??美国??,"??剧情",9.2
47,钢琴家,2002??,??英国,??剧情,9.3
48,指环王2：双塔奇兵,2002??,??美国,??剧情,9.2
49,大话西游之月光宝盒,1995??,??中国香港,??喜剧,9
50,绿皮书,2018??,??美国,??剧情,8.9
51,何以为家,2018??,??黎巴嫩,"??剧情",9.1
52,闻香识女人,1992??,??美国??,"??剧情",9.1
53,大闹天宫,1961(中国大陆) ,,,9.4
